Job runs on node:
eu-g9-027-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 10 -e 300 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 1, 	Batch:0, 	Train Loss = 2.640146, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 2.261623, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 2.230658, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 2.163759, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 2.023627, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 1.988306, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 2.036045, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 1.997082, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 2.135187, 	Val Loss = 2.524051
Epoch 2, 	Batch:1, 	Train Loss = 2.407814, 	Val Loss = 2.524051
Epoch 2, 	Batch:2, 	Train Loss = 2.591726, 	Val Loss = 2.524051
Epoch 2, 	Batch:3, 	Train Loss = 2.410627, 	Val Loss = 2.524051
Epoch 2, 	Batch:4, 	Train Loss = 2.219884, 	Val Loss = 2.524051
Epoch 2, 	Batch:5, 	Train Loss = 2.206506, 	Val Loss = 2.524051
Epoch 2, 	Batch:6, 	Train Loss = 2.016763, 	Val Loss = 2.524051
Epoch 2, 	Batch:7, 	Train Loss = 1.909354, 	Val Loss = 2.524051
Epoch 3, 	Batch:0, 	Train Loss = 2.456085, 	Val Loss = 1.710449
Epoch 3, 	Batch:1, 	Train Loss = 1.981612, 	Val Loss = 1.710449
Epoch 3, 	Batch:2, 	Train Loss = 2.026138, 	Val Loss = 1.710449
Epoch 3, 	Batch:3, 	Train Loss = 2.107940, 	Val Loss = 1.710449
Epoch 3, 	Batch:4, 	Train Loss = 2.016769, 	Val Loss = 1.710449
Epoch 3, 	Batch:5, 	Train Loss = 1.983562, 	Val Loss = 1.710449
Epoch 3, 	Batch:6, 	Train Loss = 2.042601, 	Val Loss = 1.710449
Epoch 3, 	Batch:7, 	Train Loss = 2.005533, 	Val Loss = 1.710449
Epoch 4, 	Batch:0, 	Train Loss = 1.803089, 	Val Loss = 1.739976
Epoch 4, 	Batch:1, 	Train Loss = 1.727715, 	Val Loss = 1.739976
Epoch 4, 	Batch:2, 	Train Loss = 2.140506, 	Val Loss = 1.739976
Epoch 4, 	Batch:3, 	Train Loss = 2.075449, 	Val Loss = 1.739976
Epoch 4, 	Batch:4, 	Train Loss = 2.096963, 	Val Loss = 1.739976
Epoch 4, 	Batch:5, 	Train Loss = 2.081712, 	Val Loss = 1.739976
Epoch 4, 	Batch:6, 	Train Loss = 2.087067, 	Val Loss = 1.739976
Epoch 4, 	Batch:7, 	Train Loss = 2.142669, 	Val Loss = 1.739976
Epoch 5, 	Batch:0, 	Train Loss = 1.762971, 	Val Loss = 1.746115
Epoch 5, 	Batch:1, 	Train Loss = 1.858494, 	Val Loss = 1.746115
Epoch 5, 	Batch:2, 	Train Loss = 2.109353, 	Val Loss = 1.746115
Epoch 5, 	Batch:3, 	Train Loss = 2.017971, 	Val Loss = 1.746115
Epoch 5, 	Batch:4, 	Train Loss = 1.966779, 	Val Loss = 1.746115
Epoch 5, 	Batch:5, 	Train Loss = 1.993489, 	Val Loss = 1.746115
Epoch 5, 	Batch:6, 	Train Loss = 2.011430, 	Val Loss = 1.746115
Epoch 5, 	Batch:7, 	Train Loss = 2.024834, 	Val Loss = 1.746115
Epoch 6, 	Batch:0, 	Train Loss = 2.048654, 	Val Loss = 2.195644
Epoch 6, 	Batch:1, 	Train Loss = 1.783851, 	Val Loss = 2.195644
Epoch 6, 	Batch:2, 	Train Loss = 1.874155, 	Val Loss = 2.195644
Epoch 6, 	Batch:3, 	Train Loss = 1.905519, 	Val Loss = 2.195644
Epoch 6, 	Batch:4, 	Train Loss = 1.930968, 	Val Loss = 2.195644
Epoch 6, 	Batch:5, 	Train Loss = 1.963647, 	Val Loss = 2.195644
Epoch 6, 	Batch:6, 	Train Loss = 2.029294, 	Val Loss = 2.195644
Epoch 6, 	Batch:7, 	Train Loss = 1.987373, 	Val Loss = 2.195644
Epoch 7, 	Batch:0, 	Train Loss = 1.808869, 	Val Loss = 1.219094
Epoch 7, 	Batch:1, 	Train Loss = 1.880041, 	Val Loss = 1.219094
Epoch 7, 	Batch:2, 	Train Loss = 1.796446, 	Val Loss = 1.219094
Epoch 7, 	Batch:3, 	Train Loss = 1.966978, 	Val Loss = 1.219094
Epoch 7, 	Batch:4, 	Train Loss = 2.010187, 	Val Loss = 1.219094
Epoch 7, 	Batch:5, 	Train Loss = 2.090903, 	Val Loss = 1.219094
Epoch 7, 	Batch:6, 	Train Loss = 2.064371, 	Val Loss = 1.219094
Epoch 7, 	Batch:7, 	Train Loss = 2.006109, 	Val Loss = 1.219094
Epoch 8, 	Batch:0, 	Train Loss = 2.085549, 	Val Loss = 1.708071
Epoch 8, 	Batch:1, 	Train Loss = 2.360155, 	Val Loss = 1.708071
Epoch 8, 	Batch:2, 	Train Loss = 2.278244, 	Val Loss = 1.708071
Epoch 8, 	Batch:3, 	Train Loss = 2.165547, 	Val Loss = 1.708071
Epoch 8, 	Batch:4, 	Train Loss = 2.060341, 	Val Loss = 1.708071
