Job runs on node:
eu-g9-047-1
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=3
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=10
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 3 -b 10 -e 300 -v 0.2 -sz 0.2 -of 'runs' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 1, 	Batch:0, 	Train Loss = 2.847824, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 2.674784, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 2.545141, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 2.321321, 	Val Loss = 0.000000
Epoch 1, 	Batch:4, 	Train Loss = 2.206720, 	Val Loss = 0.000000
Epoch 1, 	Batch:5, 	Train Loss = 2.196111, 	Val Loss = 0.000000
Epoch 1, 	Batch:6, 	Train Loss = 2.211135, 	Val Loss = 0.000000
Epoch 1, 	Batch:7, 	Train Loss = 2.164965, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 2.720096, 	Val Loss = 1.598014
Epoch 2, 	Batch:1, 	Train Loss = 2.579482, 	Val Loss = 1.598014
Epoch 2, 	Batch:2, 	Train Loss = 2.487113, 	Val Loss = 1.598014
Epoch 2, 	Batch:3, 	Train Loss = 2.502556, 	Val Loss = 1.598014
Epoch 2, 	Batch:4, 	Train Loss = 2.493641, 	Val Loss = 1.598014
Epoch 2, 	Batch:5, 	Train Loss = 2.410464, 	Val Loss = 1.598014
Epoch 2, 	Batch:6, 	Train Loss = 2.394030, 	Val Loss = 1.598014
Epoch 2, 	Batch:7, 	Train Loss = 2.423500, 	Val Loss = 1.598014
Epoch 3, 	Batch:0, 	Train Loss = 1.907539, 	Val Loss = 2.744039
Epoch 3, 	Batch:1, 	Train Loss = 1.909639, 	Val Loss = 2.744039
Epoch 3, 	Batch:2, 	Train Loss = 1.813967, 	Val Loss = 2.744039
Epoch 3, 	Batch:3, 	Train Loss = 1.884864, 	Val Loss = 2.744039
Epoch 3, 	Batch:4, 	Train Loss = 1.987803, 	Val Loss = 2.744039
Epoch 3, 	Batch:5, 	Train Loss = 2.089904, 	Val Loss = 2.744039
Epoch 3, 	Batch:6, 	Train Loss = 2.060993, 	Val Loss = 2.744039
Epoch 3, 	Batch:7, 	Train Loss = 2.040187, 	Val Loss = 2.744039
Epoch 4, 	Batch:0, 	Train Loss = 1.907539, 	Val Loss = 2.629218
Epoch 4, 	Batch:1, 	Train Loss = 1.939291, 	Val Loss = 2.629218
Epoch 4, 	Batch:2, 	Train Loss = 1.879390, 	Val Loss = 2.629218
Epoch 4, 	Batch:3, 	Train Loss = 1.881070, 	Val Loss = 2.629218
Epoch 4, 	Batch:4, 	Train Loss = 1.842169, 	Val Loss = 2.629218
Epoch 4, 	Batch:5, 	Train Loss = 1.814202, 	Val Loss = 2.629218
Epoch 4, 	Batch:6, 	Train Loss = 1.865846, 	Val Loss = 2.629218
Epoch 4, 	Batch:7, 	Train Loss = 1.848065, 	Val Loss = 2.629218
Epoch 5, 	Batch:0, 	Train Loss = 2.021969, 	Val Loss = 2.295959
Epoch 5, 	Batch:1, 	Train Loss = 1.844660, 	Val Loss = 2.295959
Epoch 5, 	Batch:2, 	Train Loss = 1.833079, 	Val Loss = 2.295959
Epoch 5, 	Batch:3, 	Train Loss = 2.072674, 	Val Loss = 2.295959
Epoch 5, 	Batch:4, 	Train Loss = 2.160726, 	Val Loss = 2.295959
Epoch 5, 	Batch:5, 	Train Loss = 2.243479, 	Val Loss = 2.295959
Epoch 5, 	Batch:6, 	Train Loss = 2.295002, 	Val Loss = 2.295959
Epoch 5, 	Batch:7, 	Train Loss = 2.301743, 	Val Loss = 2.295959
Epoch 6, 	Batch:0, 	Train Loss = 1.708943, 	Val Loss = 1.790838
Epoch 6, 	Batch:1, 	Train Loss = 1.803372, 	Val Loss = 1.790838
Epoch 6, 	Batch:2, 	Train Loss = 1.739556, 	Val Loss = 1.790838
