Job runs on node:
eu-g9-046-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=2500
OPTSTEP=0.2
BATCHSIZE=100
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 100 -e 2500 -v 0.2 -sz 0.2 -of 'runs/ed' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 1, 	Batch:0, 	Train Loss = 2.060760, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 1.938680, 	Val Loss = 1.273384
Epoch 3, 	Batch:0, 	Train Loss = 1.036139, 	Val Loss = 1.255563
Epoch 4, 	Batch:0, 	Train Loss = 1.605765, 	Val Loss = 1.360857
Epoch 5, 	Batch:0, 	Train Loss = 0.898367, 	Val Loss = 0.905096
Epoch 6, 	Batch:0, 	Train Loss = 0.648917, 	Val Loss = 0.760787
Epoch 7, 	Batch:0, 	Train Loss = 0.879465, 	Val Loss = 0.673839
Epoch 8, 	Batch:0, 	Train Loss = 0.871510, 	Val Loss = 0.806581
Epoch 9, 	Batch:0, 	Train Loss = 0.807906, 	Val Loss = 0.511817
Epoch 10, 	Batch:0, 	Train Loss = 0.718160, 	Val Loss = 0.662221
Epoch 11, 	Batch:0, 	Train Loss = 0.662372, 	Val Loss = 0.739195
Epoch 12, 	Batch:0, 	Train Loss = 0.435321, 	Val Loss = 0.524918
Epoch 13, 	Batch:0, 	Train Loss = 0.628242, 	Val Loss = 0.445276
Epoch 14, 	Batch:0, 	Train Loss = 0.562512, 	Val Loss = 0.660478
Epoch 15, 	Batch:0, 	Train Loss = 0.500757, 	Val Loss = 0.470457
Epoch 16, 	Batch:0, 	Train Loss = 0.418125, 	Val Loss = 0.493187
Epoch 17, 	Batch:0, 	Train Loss = 0.471068, 	Val Loss = 0.427655
Epoch 18, 	Batch:0, 	Train Loss = 0.477841, 	Val Loss = 0.475273
Epoch 19, 	Batch:0, 	Train Loss = 0.354181, 	Val Loss = 0.280034
Epoch 20, 	Batch:0, 	Train Loss = 0.342023, 	Val Loss = 0.327941
Epoch 21, 	Batch:0, 	Train Loss = 0.306472, 	Val Loss = 0.331871
Epoch 22, 	Batch:0, 	Train Loss = 0.293863, 	Val Loss = 0.043847
Epoch 23, 	Batch:0, 	Train Loss = 0.319026, 	Val Loss = 0.193997
Epoch 24, 	Batch:0, 	Train Loss = 0.232263, 	Val Loss = 0.253808
Epoch 25, 	Batch:0, 	Train Loss = 0.226658, 	Val Loss = 0.153151
Epoch 26, 	Batch:0, 	Train Loss = 0.311538, 	Val Loss = 0.256539
Epoch 27, 	Batch:0, 	Train Loss = 0.271181, 	Val Loss = 0.272346
Epoch 28, 	Batch:0, 	Train Loss = 0.113269, 	Val Loss = 0.252219
Epoch 29, 	Batch:0, 	Train Loss = 0.323471, 	Val Loss = 0.155607
Epoch 30, 	Batch:0, 	Train Loss = 0.294290, 	Val Loss = 0.272593
Epoch 31, 	Batch:0, 	Train Loss = 0.283478, 	Val Loss = 0.294120
Epoch 32, 	Batch:0, 	Train Loss = 0.264339, 	Val Loss = 0.100497
Epoch 33, 	Batch:0, 	Train Loss = 0.199761, 	Val Loss = 0.252047
Epoch 34, 	Batch:0, 	Train Loss = 0.219391, 	Val Loss = 0.199270
Epoch 35, 	Batch:0, 	Train Loss = 0.217206, 	Val Loss = 0.200751
Epoch 36, 	Batch:0, 	Train Loss = 0.255262, 	Val Loss = 0.182258
Epoch 37, 	Batch:0, 	Train Loss = 0.214279, 	Val Loss = 0.082729
Epoch 38, 	Batch:0, 	Train Loss = 0.295619, 	Val Loss = 0.252061
Epoch 39, 	Batch:0, 	Train Loss = 0.246913, 	Val Loss = 0.229101
Epoch 40, 	Batch:0, 	Train Loss = 0.237424, 	Val Loss = 0.201940
Epoch 41, 	Batch:0, 	Train Loss = 0.195784, 	Val Loss = 0.204368
Epoch 42, 	Batch:0, 	Train Loss = 0.240765, 	Val Loss = 0.225662
Epoch 43, 	Batch:0, 	Train Loss = 0.271456, 	Val Loss = 0.228225
Epoch 44, 	Batch:0, 	Train Loss = 0.215952, 	Val Loss = 0.159251
Epoch 45, 	Batch:0, 	Train Loss = 0.200195, 	Val Loss = 0.182979
Epoch 46, 	Batch:0, 	Train Loss = 0.239025, 	Val Loss = 0.198469
Epoch 47, 	Batch:0, 	Train Loss = 0.124573, 	Val Loss = 0.209333
Epoch 48, 	Batch:0, 	Train Loss = 0.146591, 	Val Loss = 0.215049
Epoch 49, 	Batch:0, 	Train Loss = 0.242383, 	Val Loss = 0.152669
Epoch 50, 	Batch:0, 	Train Loss = 0.294958, 	Val Loss = 0.053391
Epoch 51, 	Batch:0, 	Train Loss = 0.260978, 	Val Loss = 0.232678
Epoch 52, 	Batch:0, 	Train Loss = 0.193616, 	Val Loss = 0.090655
Epoch 53, 	Batch:0, 	Train Loss = 0.080335, 	Val Loss = 0.215549
Epoch 54, 	Batch:0, 	Train Loss = 0.197850, 	Val Loss = 0.195892
Epoch 55, 	Batch:0, 	Train Loss = 0.223744, 	Val Loss = 0.208166
Epoch 56, 	Batch:0, 	Train Loss = 0.161895, 	Val Loss = 0.182377
Epoch 57, 	Batch:0, 	Train Loss = 0.101045, 	Val Loss = 0.078480
Epoch 58, 	Batch:0, 	Train Loss = 0.313757, 	Val Loss = 0.303840
Epoch 59, 	Batch:0, 	Train Loss = 0.170362, 	Val Loss = 0.025685
Epoch 60, 	Batch:0, 	Train Loss = 0.241818, 	Val Loss = 0.237637
Epoch 61, 	Batch:0, 	Train Loss = 0.117369, 	Val Loss = 0.158098
Epoch 62, 	Batch:0, 	Train Loss = 0.251484, 	Val Loss = 0.095092
Epoch 63, 	Batch:0, 	Train Loss = 0.056606, 	Val Loss = 0.321904
Epoch 64, 	Batch:0, 	Train Loss = 0.421891, 	Val Loss = 0.435066
Epoch 65, 	Batch:0, 	Train Loss = 0.135296, 	Val Loss = 0.326292
Epoch 66, 	Batch:0, 	Train Loss = 0.186686, 	Val Loss = 0.243224
Epoch 67, 	Batch:0, 	Train Loss = 0.194211, 	Val Loss = 0.125219
Epoch 68, 	Batch:0, 	Train Loss = 0.170069, 	Val Loss = 0.164718
Epoch 69, 	Batch:0, 	Train Loss = 0.142860, 	Val Loss = 0.171781
Epoch 70, 	Batch:0, 	Train Loss = 0.062330, 	Val Loss = 0.081818
Epoch 71, 	Batch:0, 	Train Loss = 0.067704, 	Val Loss = 0.131565
Epoch 72, 	Batch:0, 	Train Loss = 0.095509, 	Val Loss = 0.187527
Epoch 73, 	Batch:0, 	Train Loss = 0.197572, 	Val Loss = 0.182091
Epoch 74, 	Batch:0, 	Train Loss = 0.185807, 	Val Loss = 0.167242
Epoch 75, 	Batch:0, 	Train Loss = 0.135552, 	Val Loss = 0.151088
Epoch 76, 	Batch:0, 	Train Loss = 0.205861, 	Val Loss = 0.231309
Epoch 77, 	Batch:0, 	Train Loss = 0.201534, 	Val Loss = 0.139409
Epoch 78, 	Batch:0, 	Train Loss = 0.132360, 	Val Loss = 0.183525
Epoch 79, 	Batch:0, 	Train Loss = 0.245721, 	Val Loss = 0.205374
Epoch 80, 	Batch:0, 	Train Loss = 0.204530, 	Val Loss = 0.189227
Epoch 81, 	Batch:0, 	Train Loss = 0.175287, 	Val Loss = 0.182700
Epoch 82, 	Batch:0, 	Train Loss = 0.066962, 	Val Loss = 0.175077
