Job runs on node:
eu-g9-044-4
REPETITIONS=8
COSTTYPE=earth-mover
NUMINPUTQUBITS=8
NUMMIDDLEQUBIT=1
EPOCHS=300
OPTSTEP=0.2
BATCHSIZE=25
VALSPLIT=0.2
FRACSAMPLEDSTATES=0.25
LISTOPSUPPORT=1 2 3
LISTOPSUPPORTPROBS=1. 1. 1.
LISTOPSUPPORTMAXRANGE=1 5 3
RUNID=0
NO JAX
srun -N 1 -n 1 python Cluster/single_run.py -ni 8 -nt 1 -b 25 -e 300 -v 0.2 -sz 0.2 -of 'runs/ee' -ls 1 2 3  -lp 1. 1. 1.  -lr 1 5 3 -njx

Epoch 1, 	Batch:0, 	Train Loss = 0.769988, 	Val Loss = 0.000000
Epoch 1, 	Batch:1, 	Train Loss = 0.569127, 	Val Loss = 0.000000
Epoch 1, 	Batch:2, 	Train Loss = 0.462916, 	Val Loss = 0.000000
Epoch 1, 	Batch:3, 	Train Loss = 0.421159, 	Val Loss = 0.000000
Epoch 2, 	Batch:0, 	Train Loss = 0.400505, 	Val Loss = 0.422931
Epoch 2, 	Batch:1, 	Train Loss = 0.400794, 	Val Loss = 0.422931
Epoch 2, 	Batch:2, 	Train Loss = 0.373264, 	Val Loss = 0.422931
Epoch 2, 	Batch:3, 	Train Loss = 0.349829, 	Val Loss = 0.422931
Epoch 3, 	Batch:0, 	Train Loss = 0.243270, 	Val Loss = 0.251398
Epoch 3, 	Batch:1, 	Train Loss = 0.287262, 	Val Loss = 0.251398
Epoch 3, 	Batch:2, 	Train Loss = 0.280228, 	Val Loss = 0.251398
Epoch 3, 	Batch:3, 	Train Loss = 0.275527, 	Val Loss = 0.251398
Epoch 4, 	Batch:0, 	Train Loss = 0.237964, 	Val Loss = 0.231038
Epoch 4, 	Batch:1, 	Train Loss = 0.233253, 	Val Loss = 0.231038
Epoch 4, 	Batch:2, 	Train Loss = 0.214815, 	Val Loss = 0.231038
Epoch 4, 	Batch:3, 	Train Loss = 0.208495, 	Val Loss = 0.231038
Epoch 5, 	Batch:0, 	Train Loss = 0.131999, 	Val Loss = 0.115587
Epoch 5, 	Batch:1, 	Train Loss = 0.126967, 	Val Loss = 0.115587
Epoch 5, 	Batch:2, 	Train Loss = 0.113514, 	Val Loss = 0.115587
Epoch 5, 	Batch:3, 	Train Loss = 0.110818, 	Val Loss = 0.115587
Epoch 6, 	Batch:0, 	Train Loss = 0.087218, 	Val Loss = 0.073640
Epoch 6, 	Batch:1, 	Train Loss = 0.088892, 	Val Loss = 0.073640
Epoch 6, 	Batch:2, 	Train Loss = 0.084314, 	Val Loss = 0.073640
Epoch 6, 	Batch:3, 	Train Loss = 0.086359, 	Val Loss = 0.073640
Epoch 7, 	Batch:0, 	Train Loss = 0.079608, 	Val Loss = 0.070235
Epoch 7, 	Batch:1, 	Train Loss = 0.067599, 	Val Loss = 0.070235
Epoch 7, 	Batch:2, 	Train Loss = 0.062443, 	Val Loss = 0.070235
Epoch 7, 	Batch:3, 	Train Loss = 0.068807, 	Val Loss = 0.070235
Epoch 8, 	Batch:0, 	Train Loss = 0.082408, 	Val Loss = 0.078544
Epoch 8, 	Batch:1, 	Train Loss = 0.069901, 	Val Loss = 0.078544
Epoch 8, 	Batch:2, 	Train Loss = 0.070298, 	Val Loss = 0.078544
Epoch 8, 	Batch:3, 	Train Loss = 0.069162, 	Val Loss = 0.078544
Epoch 9, 	Batch:0, 	Train Loss = 0.060126, 	Val Loss = 0.053397
Epoch 9, 	Batch:1, 	Train Loss = 0.065053, 	Val Loss = 0.053397
Epoch 9, 	Batch:2, 	Train Loss = 0.067057, 	Val Loss = 0.053397
Epoch 9, 	Batch:3, 	Train Loss = 0.062488, 	Val Loss = 0.053397
Epoch 10, 	Batch:0, 	Train Loss = 0.057520, 	Val Loss = 0.053283
Epoch 10, 	Batch:1, 	Train Loss = 0.054604, 	Val Loss = 0.053283
Epoch 10, 	Batch:2, 	Train Loss = 0.050694, 	Val Loss = 0.053283
Epoch 10, 	Batch:3, 	Train Loss = 0.053061, 	Val Loss = 0.053283
Epoch 11, 	Batch:0, 	Train Loss = 0.040278, 	Val Loss = 0.041111
Epoch 11, 	Batch:1, 	Train Loss = 0.048396, 	Val Loss = 0.041111
Epoch 11, 	Batch:2, 	Train Loss = 0.047521, 	Val Loss = 0.041111
